Restaurant Name,Longitude,Latitude
Bridge Road Brewers,146.685852,-36.360439
Bardenay,-116.2019,43.6138
Flatbread Neapolitan Pizzeria,-116.203466,43.616068
Goldy's Breakfast Bistro,-116.2023,43.6149
Chandlers Steakhouse,-116.2064,43.6157
Bar Gernika Basque Pub & Eatery,-116.2031,43.614
Barbacoa Restaurant,-116.185034,43.597235
Big Jud's,-116.2062,43.5945
Bittercreek Ale House,-116.2022,43.6167
Boise Fry Company,-116.193409,43.610279
Flying Pie Pizzaria,-116.2625,43.6192
Fork,-116.202845,43.616295
Guido's Original New York Style Pizza,-116.199,43.615
Los Beto's,-116.2463,43.6191
Lucianos Italian Restaurant,-116.245165,43.6051379
Mai Thai Restaurant,-116.2021,43.6162
Shige Japanese Cuisine,-116.2031,43.6156
The Egg Factory,-116.281809,43.619274
Tucanos,-116.280614,43.591706
Texas Roadhouse,-116.347304,43.619108
Brick 29,-116.5629,43.5777
Winifreds,-91.6336,42.0179
Biaggi's Ristorante Italiano,-91.6327,42.0281
El Super Burrito,-91.7148,41.9748
Granite City Food & Brewery,-91.6224,42.0249
Irish Democrat,-91.6347,42.01
Taste of India,-91.6499622,42.0215347
Thai Moon Restaurant,-91.7266,41.9639
Ting's Red Lantern,-91.6394,42.0468
Monica's,-91.569767,41.670466
Exotic India,-91.5687,41.6685
Shorts Burger and Shine,-91.534424,41.660982
The Hamburg Inn No. 2 Inc.,-91.531414,41.663849
Bluebird Diner,-91.531093,41.663751
Graze,-91.534302,41.658691
A & A Pagliai's Pizza,-91.5314,41.6648
Atlas World Grill,-91.5341,41.661
BlackStone,-91.482165,41.667742
Devotay,-91.5318,41.6625
Jimmy Jack's Rib Shack,-91.5074,41.6428
Zoeys Pizzeria,-91.5995,42.0331
Tokyo Sushi,-82.188438,42.397683
Berry Patch Restaurant,-123.368151,46.126967
Sakura Sushi & Grill,-114.472474,51.183934
Uptown Vietnam cuisine,-84.992671,32.470315
Cafe Le Rue @ The Landings,-84.95591,32.519247
Mark's City Grille,-84.927047,32.555591
B Merrell's,-84.9436,32.5577
Cannon Brewpub,-84.9936,32.4656
Fuji Japanese Steak House,-84.954984,32.5382197
Ruth Ann's Family Restaurant,-84.9876,32.4637
Samurai Japanese Cuisine & Sushi Bar,-84.9933631,32.4652417
Wasabi Sushi and Thai,-84.96661,32.534002
Buckhead Bar and Grill,-84.95367,32.513154
Burt's Butcher Shoppe and Eatery,-84.947569,32.504657
Chef Lee's Peking Restaurant,-84.9607,32.5393
Country's Barbecue,-84.9464,32.4792
Deorio's,-84.9427,32.481
Mellow Mushroom,-84.9557,32.5321
Meritage,-84.992093,32.466158
Mongo The Mongolian Fire Pit,-84.938698,32.560905
The Black Cow,-84.991384,32.468757
Wood Stone,-84.963201,32.527217
Hunter's Pub,-85.0213,32.7455
Consort Restaurant,-110.7746994,52.0082889
Thatcher's Barbeque and Grill,-84.9396931,34.5251331
Christian and Jake's Bistro,-84.926258,34.474635
Dub's High on the Hog,-84.9523921,34.4972488
Sierra's Mexican Restaurant,-84.767911,34.752476
Oakwood Cafe,-84.969393,34.769686
Chili's Grill & Bar,-85.0039,34.7643
Fuji Japanese Steakhouse,-84.992342,34.759551
Las Palmas,-84.992924,34.759665
Tony's Italian Restaurant & Pizza,-84.999678,34.758645
Filling Station,-84.9678,34.7742
Five Guys Burgers and Fries,-84.990925,34.759273
Los Pablos,-84.9964,34.7604
Kobe Hibachi & Sushi,-85.2229101,34.9428786
Soho Hibachi,-85.246237,34.9528157
Thai Garden,-85.2545,34.9546
Southern Bliss Bakery,-85.294955,34.705093
Bailey's Bar-B-Que,-85.1321,34.9273
Farm To Fork,-85.130492,34.912109
Home Plate Grill,-85.1079396,34.9151853
Pie Slingers Pizzeria,-85.249727,34.851907
Olive Tree Cafe,-90.496986,41.574935
Red Ginger Sushi Grill & Bar,-90.522479,41.53845
Crust Stone Oven Pizza,-90.4912446,41.5747801
Jimmy's Pancake House,-90.504176,41.548746
Trattoria Tiramisu,-90.50709,41.525384
Prairie Grille at SteepleGate Inn,-90.574088,41.593892
Tantra Asian Bistro,-90.565837,41.574459
Chick-fil-A,-90.5716,41.5604
Duck City Bistro,-90.5737,41.5223
Frick's Tap,-90.59466452,41.52253634
Los Agaves,-90.5154313,41.5709434
Azteca,-90.5683,41.5699
China Cafe,-90.5321,41.5749
Exotic Thai Restaurant,-90.5432,41.5747
Front Street Brewery,-90.572418,41.520389
Granite City Food & Brewery,-90.5137,41.5745
Los Agaves,-90.5686,41.559
Machine Shed Restaurant,-90.6136,41.5944
Osaka,-90.515175,41.570997
Texas Roadhouse,-90.517,41.5747
Hickory Park,-93.610084,42.010254
The Cafe,-93.643094,42.048779
Flying Mango,-93.677638,41.614965
Cool Basil,-93.739573,41.600564
HuHot Mongolian Grill,-93.760027,41.60028
Malo,-93.627896,41.583309
Centro,-93.6300803,41.5857431
Fong's Pizza,-93.621631,41.585465
A Dong Restaurant,-93.637401,41.587219
Court Avenue Brewing Company,-93.620726,41.58536
Django,-93.629436,41.584027
Miyabi 9,-93.611366,41.590819
Zombie Burger + Drink Lab,-93.61474,41.590106
Tursi's Latin King,-93.577383,41.601415
Tsing Tsao South,-93.645245,41.545869
Bandit Burrito,-93.6976773,41.6714654
Jethro's BBQ,-93.659797,41.603901
The Machine Shed Restaurant,-93.772033,41.615083
Mi Patria,-93.73624,41.594039
Waterfront Seafood Market,-93.7441981,41.5991771
The Giggling Goat,153.137401,-26.783576
Burnt Toast Cafe,-90.667668,42.504759
Catfish Charlie's,-90.6499328,42.5124724
Salsa's Mexican Restaurant,-90.6684746,42.5032004
Tony Roma's,-90.658609,42.496464
Vinny Vanucchi's,-90.664029,42.495689
Champps Americana,-90.715247,42.492018
Fiesta Cancun,-90.740213,42.49092
Happy Joe's Pizza & Ice Cream,-90.7264,42.4955
Houlihan's,-90.645294,42.516621
Ichiban Hibachi Steakhouse & Sushi Bar,-90.712084,42.492963
Kalmes Breaktime Bar & Grill,-90.6646,42.5043
L. May Eatery,-90.668164,42.503075
Los Aztecas,-90.7055,42.4916
Manna Java World Cafe,-90.6677349,42.500191
Mario's Italian Restaurant,-90.6691,42.5048
Pepper Sprout Incorporated,-90.6651,42.4974
Shot Tower Inn,-90.6658,42.4963
Sunshine Family Restaurant,-90.663686,42.4982789
Watershed Cafe,-90.684882,42.527556
Woodfire Grille,-90.658988,42.496378
The Belle General,153.593331,-28.862663
Jehova es Mi Pastor Tacos y Burritos,-119.252694,39.607515
Flaxton Gardens,152.8771473,-26.6521332
Bespoke Harvest,143.714315,-38.517292
Houndstooth Grill & Tavern,-83.8461,34.0901
Hawg Wild BBQ & Catfish House,-83.520693,34.61802
Bourbon Street Grille,-83.985353,34.532973
Corkscrew Cafe,-83.9858,34.5318
Smokin Gold BBQ,-83.983939,34.533626
Hoka-Hoka Japanese Steak & Sushi,-83.989317,34.541044
Shenanigan's Irish Pub,-83.986119,34.533198
Fish Tales Lakeside Grille,-83.938024,34.183573
Antebellum,-83.926217,34.185707
Moonie's Texas Barbecue,-83.927794,34.180043
Atlanta Highway Seafood Market,-83.838457,34.285102
Eat at Thai,-83.857993,34.300182
Smoke House BBQ and Catering,-83.860098,34.222755
2 Dog,-83.824023,34.300567
Longstreet Cafe,-83.8272,34.3166
Re-Cess,-83.82686,34.300332
Bodensee,-83.727741,34.701594
Hofer's Bakery & Cafe,-83.7345,34.7024
Troll Tavern,-83.7334,34.7021
The Nacoochee Village Tavern & Pizzeria,-83.713498,34.691208
Blue Bean Love Cafe,144.1387014,-37.3123267
La Trattoria of Lavandula,144.110062,-37.275494
5 Little Pigs,150.6710743,-35.0388698
Beach Box Cafe,145.7287133,-38.6347458
Funkey Monkey,147.9942247,-37.8783865
Burger Queen Drive In,-120.3458,42.1885
Blue Orchid Thai Restaurant,-96.7072,40.8143
Stillwater on Belmore,151.558475,-32.728097
Mr.,144.564174,-37.423189
Emilio's Cuban Cafe,-83.594494,32.567741
Ingleside Village Pizza,-83.657061,32.853896
Jim Shaw's Seafood Grill & Bar,-83.6737,32.8496
Mandarin Chinese Restaurant,-83.6766,32.8899
Rookery,-83.6279,32.8361
Dovetail,-83.627979,32.83641
Bonefish Grill,-83.713978,32.929278
Downtown Grill,-83.6276,32.8375
Greek Corner Deli,-83.628703,32.83654
Natalia's,-83.787993,32.928495
Papouli's Mediterranean Cafe & Market,-83.6873,32.901
Benson's Steak and Sushi,-83.662421,32.556873
My Fathers Place,-83.624,32.5786
Sushi Thai Restaurant,-83.6665,32.6184
The Mellow Mushroom,-83.691044,32.552684
El Jalisciense Mexican Restaurant,-83.64935,32.594666
Greek Village,-83.636618,32.6176839
Martin's BBQ,-83.600201,32.619321
Thai Pepper,-83.665557,32.593264
Zen Japanese Steakhouse and Sushi Bar,-83.7184,32.6147
Star Buffet,151.7343832,-32.899178
Triangle Restaurant,-85.7363,46.3718
Three Anchors,117.917166,-35.025861
HI Lite Bar & Lounge,-98.9891,44.5158
Vince's Restaurant & Pizzeria,-89.653487,42.606306
Poets Cafe,152.893735,-26.690462
The Artesian Restaurant,-106.057666,36.313638
Cev�_che Tapas Bar & Restaurant,-81.381077,28.540432
'Ohana,-81.585226,28.405437
Earl of Sandwich,-81.514608,28.372858
Raglan Road Irish Pub and Restaurant,-81.517725,28.371338
Caf�� Tu Tu Tango,-81.469986,28.440344
Texas de Brazil,-81.4510725,28.4676808
Bahama Breeze Island Grille,-81.471526,28.437065
Maggiano's Little Italy,-81.471447,28.433235
Hawkers Asian Street Fare,-81.364347,28.560505
Tako Cheena by Pom Pom,-81.364547,28.557845
Seasons 52 Fresh Grill,-81.487978,28.448175
Hollerbach's Willow Tree Caf��,-81.266871,28.811653
Pom Pom's Teahouse and Sandwicheria,-81.351467,28.543571
Yellow Dog Eats,-81.522987,28.527592
Tibby's New Orleans Kitchen,-81.322631,28.601088
The Coop,-81.357219,28.597366
Bosphorous Turkish Cuisine,-81.3508344,28.5976271
Ethos Vegan Kitchen,-81.352921,28.592857
Hillstone,-81.36526,28.596682
The Ravenous Pig,-81.356024,28.593297
Vivo Bar and Grill,145.670768,-16.748083
Pier 70,147.7227832,-37.9194154
DiVine,140.837409,-37.379153
Cactus Flower Cafe Navarre,-86.8573393,30.4025979
McGuire's Irish Pub & Brewery,-87.2027,30.4179
New Yorker Deli & Pizzeria,-87.1819,30.4251
Tu-Do Vietnamese Restaurant,-87.2216,30.4982
Carrabba's Italian Grill,-87.205855,30.417318
Jaco's Bayfront Bar and Grille,-87.213274,30.403034
The Tin Cow,-87.2150874,30.4116106
Cactus Flower Cafe,-87.2080932,30.4473322
Dharma Blue,-87.2092,30.4101
Global Grill,-87.2153054,30.411878
Ichiban,-87.2252,30.4767
The Fish House,-87.211082,30.407358
Tuscan Oven,-87.214,30.4692
Flounders Chowder House,-87.143,30.3359
Hemingway's Island Grill,-87.142602,30.335521
Native Cafe,-87.132932,30.334776
Peg Leg Pete's,-87.164376,30.327864
The Grand Marlin,-87.149178,30.34262
Original Georgios Authentic Greek Food,-87.4218962,30.3199824
Fisherman's Corner,-87.427707,30.308468
Mad Cowes Cafe,145.237813,-38.448307
Rupes Burgers,-112.3415,43.1903
Texas Roadhouse,-112.461326,42.910518
Riverwalk Cafe,-112.0132,42.62
Royal Hotel,-112.0127,42.6192
Buddy's Italian Restaurant,-112.4423,42.8661
Butterburrs,-112.4516,42.8919
Chang Garden,-112.441,42.8928
Fifth Street Bagelry,-112.4397,42.8631
Goody's Deli,-112.4365,42.8604
Grecian Key Restaurant,-112.4524,42.8639
Outer Limits Fun Zone,-112.459988,42.878077
Portneuf Valley Brewing,-112.443213,42.860024
Sandpiper Restaurant & Lounge,-112.432,42.9012
Senor Iguanas,-112.4433,42.8942
Sushi Family,-112.452013,42.88245
Taste of India Nepal,-112.45253,42.863969
Thai Paradise,-112.450106,42.861871
The Bridge,-112.4413856,42.8585987
Nosh Mahal,-112.44853,42.891174
El Herradero,-112.4419,42.8774
Barrett Junction Cafe,-116.704731,32.613431
Blue Point Grill,-74.651139,40.352385
Giovanni's Shrimp Truck,-157.948486,21.677078
Kona Brewing Company,-155.997362,19.642752
Leonard's Bakery,-157.813432,21.284586
Coconuts Fish Cafe,-156.455284,20.748838
Kihei Caffe,-156.451847,20.731487
Monkeypod Kitchen by Merriman,-156.4309473,20.6883746
Sansei Seafood Restaurant & Sushi Bar,-156.452556,20.733554
Star Noodle,-156.674835,20.885226
Aloha Mixed Plate,-156.684967,20.886564
Gazebo,-156.667037,20.992316
Hula Grill,-156.693821,20.921347
Kimo's,-156.680666,20.876127
Mama's Fish House,-156.366445,20.929622
Marukame Udon,-157.825979,21.279476
Yard House,-157.8312476,21.2794952
Lulu's Waikiki,-157.822716,21.271826
Duke's Waikiki,-157.827196,21.277583
Eggs 'n Things,-157.831538,21.280663
Roy's,-157.831176,21.279154
Wailana Coffee House,-157.836031,21.285396
The Lady & Sons,-81.0954,32.0804
Green Truck Pub,-81.096647,32.052858
Leopold's Ice Cream,-81.0894,32.0785
Mrs. Wilkes' Dining Room,-81.0955,32.0727
Zunzi's,-81.0911,32.0775
Moon River Brewing Company,-81.0916,32.0809
Pirates' House Restaurant,-81.0844,32.0782
B. Matthew's Eatery,-81.0875,32.0798
Crystal Beer Parlor,-81.0979,32.0735
Goose Feathers Cafe and Bakery,-81.0941,32.0801
Henry's,-81.0905213,32.0794767
Huey's On The River,-81.0897,32.0812
J. Christopher's,-81.091482,32.074495
Lulu's Chocolate Bar,-81.097051,32.080742
Rocks on the River,-81.092484,32.081394
SOHO South Cafe,-81.0939,32.0747
The Olde Pink House,-81.0897,32.0798
Vic's On The River,-81.0908,32.0809
The Crab Shack,-80.865909,32.011689
Tybee Island Social Club,-80.848297,31.99581
Sky On 57,103.8600048,1.2826608
Cut By Wolfgang Puck,103.8594222,1.285476931
Restaurant Andre,103.8403602,1.279419756
Potato Head Folk,103.8416688,1.280502991
Jaan,103.8536048,1.293220698
Rhubarb Le Restaurant,103.8430222,1.27944363
Al'frank Cookies,103.859422,1.300404333
Fratini La Trattoria,103.8070809,1.331128397
Boufe Boutique Cafe,103.8146178,1.29782554
The Refinery Singapore,103.8621195,1.310668316
Chye Seng Huat Hardware,103.8604162,1.311550709
Makansutra Gluttons Bay,103.8558665,1.289761964
Colony,103.859955,1.2905805
Summer Pavilion,103.8601766,1.290800881
The Lokal,103.840921,1.278373182
I Am,103.8584296,1.301707168
Super Loco,103.839165,1.290083898
Artistry,103.8581813,1.303034648
Bitters & Love,103.8482541,1.28197
Artichoke Cafe,103.8519943,1.299707726
Archie's Waeside,-96.1608,42.7956
Bob Roe's Pizza,-96.379,42.4765
Da Kao Restaurant,-96.4173,42.5026
Famous Dave's,-96.4051,42.492
Fuji Bay Japanese Restaurant,-96.4046,42.4965
HuHot Mongolian Grill,-96.3479,42.4391
Hunan Palace,-96.362,42.4375
Jerry's Pizza,-96.3596,42.4764
Jim's Burgers,-96.4048,42.4985
Johnnie Mars,-96.378049,42.495534
Miles Inn,-96.3755,42.4876
Milwaukee Wiener House,-96.4063904,42.4930681
Minerva's Food & Cocktails,-96.418,42.5212
Monterrey Mexican Restaurant,-96.3691,42.4351
Rebos,-96.3959487,42.4944454
Tokyo Japanese Steakhouse & Sushi Bar,-96.349464,42.440592
Diamond Thai Cuisine,-96.4136,42.5011
El Fredo Pizza,-96.4204,42.5106
Trattoria Fresco,-96.4019631,42.4949153
Kahill's Steak-Fish Chophouse,-96.4092028,42.485608
Rumba Island Bar & Grill,-82.762624,27.96076
Red Mesa Cantina,-82.636924,27.770026
BellaBrava,-82.6329663,27.7737426
Ceviche Tapas Bar & Restaurant,-82.6333294,27.7711464
The Moon Under Water,-82.632174,27.775462
Bern's Steak House,-82.482962,27.931516
Boca Kitchen Bar Market,-82.46887,27.941942
Edison: Food+Drink Lab,-82.469306,27.944244
Ceviche Tapas Bar & Restaurant,-82.4852372,27.9410382
Daily Eats,-82.483124,27.935039
Salt Rock Grill,-82.843253,27.848357
Mazzaro's Italian Market,-82.673621,27.792047
Conch Republic Grill,-82.820856,27.816086
Mr. Dunderbak's Biergarten and Marketplatz,-82.41294,28.082909
Red Mesa Restaurant,-82.638843,27.816848
Datz,-82.4932815,27.9219315
Ella's Americana Folk Art Cafe,-82.451041,27.993645
Taco Bus,-82.449897,27.995964
The Refinery,-82.459339,27.99384
Columbia Restaurant,-82.4351499,27.959884
1918 Bistro & Grill,138.966064,-34.519619
Pig and Whistle,144.41272,-37.396942
Buffalo Wild Wings,-83.319123,30.846819
El Toreo Mexican Restaurant,-83.3247,30.8426
306 North Restaurant,-83.2799,30.8332
Austins Cattle Co,-83.3170843,30.8164364
Beijing Cafe,-83.318554,30.841892
Bleu Cafe,-83.279,30.8308
Bleu Pub,-83.2792,30.8308
Bubba Jax Crab Shack,-83.3085736,30.8223548
Cheddar's Scratch Kitchen,-83.316402,30.824691
El Cazador,-83.28078,30.850888
Friends Grille and Bar,-83.29633,30.880146
Giulios Greek & Italian Restaurant,-83.2851,30.8433
La Jalisco Supermercato,-83.281,30.8465
Masato Japanese,-83.310343,30.846763
Mom & Dad's Italian Restaurant,-83.3283,30.8971
Mori's Japanese Steakhouse & Sushi Bar,-83.318958,30.841547
Passage 2 India,-83.289338,30.87114
Rodeo Mexican Restaurant,-83.2868,30.868
Steel Magnolias,-83.2796,30.8316
Smok'n Pig B-B-Q,-83.332796,30.897087
Blue House Cafe,-123.1954368,45.858667
Anchorage Cafe Restaurant Wine Bar,138.624316,-35.5536609
Lake House Restaurant,-79.3791465,43.1868697
Masala Grill & Coffee House,-92.456343,42.516908
Brown Bottle The Cedar Falls,-92.4507,42.5464
Four Queens Dairy Cream,-92.4599,42.5377
Hong Kong Chinese Restaurant,-92.4322,42.5133
HuHot Mongolian Grill,-92.432177,42.512646
J's Homestyle Cooking,-92.466597,42.509472
Montage,-92.4453,42.5366
Mulligan's Brick Oven Grill,-92.444,42.5219
Sakura,-92.426215,42.51259
Scratch,-92.4457417,42.5354081
SOHO Sushi Bar & Deli,-92.4457,42.5375
Texas Roadhouse,-92.4291,42.5127
Tony's La Pizzeria,-92.445723,42.53489
Chapala,-92.323032,42.477281
Galleria de Paco,-92.339721,42.494908
Golden China,-92.356066,42.458979
